Date,ER,DD,dflows,LER,dLER,dPoil,dDate,match,dflows2
25-10-13,31.6618,0.184960417,0.006298362,3.455110907,-0.580087852,-2.701616801,5,4879,0.006298362
01-11-13,32.0758,0.181581613,-0.004162331,3.468101852,1.299094482,0.840498037,5,4884,-0.004162331
05-11-13,32.1808,0.188303966,-0.000365252,3.471370001,0.326814968,-2.523912105,5,4889,-0.000365252
10-11-13,32.5479,0.18591033,-0.0006304,3.48271285,1.134284903,-1.702537156,5,4894,-0.0006304
15-11-13,32.6874,0.186192519,-0.000722657,3.486989683,0.42768321,4.930742786,6,4900,-0.000722657
20-11-13,32.6098,0.185200203,-0.00435881,3.484612857,-0.237682585,0,4,4904,-0.00435881
25-11-13,32.9055,0.185846549,0.004732061,3.493639817,0.902696036,2.795538295,5,4909,0.004732061
01-12-13,33.1916,0.182777553,2.32361E-05,3.502296832,0.865701481,-0.035925993,5,4914,2.32361E-05
05-12-13,33.2632,0.187813457,-0.005127296,3.504451681,0.215484894,1.736541255,5,4919,-0.005127296
10-12-13,32.7782,0.185620719,0.00032099,3.48976366,-1.468802053,-2.865782218,5,4924,0.00032099
15-12-13,32.8663,0.180920798,0.001955696,3.492447817,0.268415642,-0.986039213,7,4931,0.001955696
20-12-13,32.9527,0.181632646,-0.012103921,3.4950732,0.262538324,1.62901177,9,4940,-0.012103921
25-12-13,32.6284,0.182122992,0.006195237,3.485183075,-0.989012516,0.7105944,5,4945,0.006195237
01-01-14,32.6587,0.170469981,0.001709874,3.486111283,0.092820794,-1.46264796,5,4950,0.001709874
10-01-14,33.1547,0.178937416,0.001137241,3.501184486,1.507320366,-2.262789702,5,4955,0.001137241
15-01-14,33.2386,0.181016242,0.001957654,3.503711851,0.25273648,-0.34481186,7,4962,0.001957654
20-01-14,33.4343,0.183026032,-0.001144812,3.509582319,0.587046797,1.233953589,4,4966,-0.001144812
25-01-14,34.26,0.188671691,0.00407649,3.533978493,2.439617375,1.136896815,5,4971,0.00407649
01-02-14,35.18,0.191651064,-0.000154863,3.560477739,2.649924641,-0.301301301,5,4976,-0.000154863
05-02-14,35.4502,0.196884714,-0.002266193,3.568128895,0.76511554,-2.144259604,5,4981,-0.002266193
10-02-14,34.6044,0.192981037,0.002074562,3.543980842,-2.41480531,2.836808389,5,4986,0.002074562
15-02-14,35.2559,0.193640718,0.004394476,3.562632891,1.865204953,-1.040630112,4,4990,0.004394476
