cr_gdp,dy,cr,fd0,fd1,fd2
131.4,0.30973,0,0.65368,0.8445,0.98856
131.1,1.1679,0,0.65579,0.84628,1
131.8,0.51268,0,0.65146,0.84623,1
131.4,0.66101,0,0.64713,0.84618,1
130.7,0.22516,0,0.64279,0.84613,1
130.6,0.27152,0,0.63846,0.84608,1
133.8,1.3294,0,0.63943,0.84091,1
135.1,0.52856,0,0.64041,0.83573,1
134.4,0.93678,0,0.64138,0.83056,1
135.5,0.96188,0,0.64236,0.82538,1
137.4,0.69808,0,0.64225,0.82393,0.99764
138.3,1.1226,0,0.64214,0.82248,0.99528
136.5,1.215,0,0.64202,0.82102,0.99292
135,0.75904,0,0.64191,0.81957,0.99056
137.6,1.1337,0,0.64162,0.80061,0.98995
138.7,0.27145,0,0.64134,0.78164,0.98934
141,0.77436,0,0.64105,0.76267,0.98873
141.2,1.2134,1,0.64076,0.74371,0.98812
141.1,-0.50228,1,0.63847,0.74518,0.9781
141.4,-0.73555,1,0.63618,0.74666,0.96807
143.7,-1.6923,1,0.63389,0.74813,0.95804
144,-1.523,0,0.6316,0.74961,0.94802
144.7,-0.94926,0,0.63026,0.75431,0.95212
146.1,0.44349,0,0.62892,0.75902,0.95622
146,0.92985,0,0.62758,0.76372,0.96031
146.6,-0.83741,0,0.62624,0.76843,0.96441
147.9,1.6492,0,0.6369,0.76771,0.94193
147.2,1.1374,0,0.64756,0.767,0.91945
147.5,0.49834,0,0.65822,0.76628,0.89696
145.3,1.4587,0,0.66889,0.76557,0.87448
145.1,0.19875,0,0.67133,0.77064,0.88466
144.9,0.011134,0,0.67378,0.77571,0.89483
145.2,0.163,0,0.67622,0.78078,0.90501
144.5,0.87321,0,0.67867,0.78585,0.91518
145.6,-0.64955,0,0.67747,0.76849,0.91853
145.3,0.11058,0,0.67627,0.75113,0.92187
143.5,-0.075047,0,0.67507,0.73377,0.92522
142.9,-0.49412,0,0.67387,0.7164,0.92856
142.3,0.50917,0,0.67191,0.7186,0.90501
142,0.22073,0,0.66995,0.7208,0.88147
146.5,0.4844,0,0.66799,0.72299,0.85792
144.9,-0.012548,0,0.66604,0.72519,0.83437
145.4,0.0010672,0,0.66315,0.72734,0.81309
145.5,0.21666,0,0.66026,0.7295,0.79181
141.9,0.29048,0,0.65737,0.73166,0.77053
144.3,-0.10981,0,0.65449,0.73381,0.74925
142.5,0.64876,0,0.65118,0.75746,0.74856
142.3,0.48979,0,0.64788,0.78111,0.74787
141.9,0.088333,0,0.64457,0.80476,0.74718
141.9,0.80204,0,0.64126,0.82841,0.74649
142,0.42398,0,0.64126,0.82841,0.74649
143.2,0.52814,0,0.64126,0.82841,0.74649
143,0.92288,0,0.64126,0.82841,0.74649
88.4,3.6934,0,0.26056,0.69076,0.012202
88.7,-0.66846,0,0.26032,0.6905,0.01521
87.3,-0.98421,0,0.26007,0.69025,0.018218
87.9,-0.20476,0,0.25983,0.68999,0.021226
88,0.022399,0,0.25959,0.68974,0.024235
87.9,1.4474,0,0.26901,0.70627,0.021183
87.3,-0.42975,0,0.27843,0.7228,0.018131
90.7,0.26742,0,0.28785,0.73932,0.015079
89.8,0.13343,0,0.29728,0.75585,0.012027
88.4,0.26904,0,0.30228,0.76243,0.01499
85.9,0.11261,0,0.30728,0.769,0.017952
89.2,-0.63531,0,0.31228,0.77557,0.020914
88.1,0.018047,0,0.31729,0.78215,0.023876
87,0.047174,0,0.32084,0.78577,0.026805
86.4,0.83118,0,0.32439,0.78939,0.029735
87.2,1.1111,0,0.32794,0.79301,0.032664
85.2,0.40374,0,0.33149,0.79663,0.035594
84.4,0.15275,0,0.33499,0.80169,0.056224
82.8,0.28636,0,0.3385,0.80674,0.076853
83.6,0.64227,0,0.34201,0.81179,0.097483
82.2,0.42674,0,0.34551,0.81684,0.11811
82.2,0.36455,0,0.35444,0.82241,0.12104
80.4,0.67487,0,0.36336,0.82797,0.12397
80.5,0.51663,0,0.37229,0.83354,0.1269
79.8,0.54639,0,0.38121,0.8391,0.12983
80.2,0.20337,0,0.39445,0.84519,0.15345
78.9,1.2234,0,0.40768,0.85129,0.17706
79.5,-1.1629,0,0.42092,0.85738,0.20068
80.1,0.70387,0,0.43415,0.86347,0.22429
82.4,1.1051,0,0.43917,0.86314,0.21244
80.7,1.3878,0,0.44419,0.86281,0.20058
81.5,1.2824,0,0.4492,0.86248,0.18873
82.2,0.98549,0,0.45422,0.86216,0.17687
83.8,0.92776,0,0.44715,0.85074,0.18271
84.7,1.2214,0,0.44008,0.83931,0.18854
85.6,0.97512,0,0.43301,0.82789,0.19437
85.7,0.75732,0,0.42593,0.81647,0.2002
88.5,0.95653,0,0.41905,0.81006,0.21194
89,0.37076,0,0.41216,0.80364,0.22368
91.5,1.2903,0,0.40527,0.79722,0.23541
89.8,1.5512,0,0.39838,0.79081,0.24715
91.6,-0.35435,0,0.40133,0.79158,0.24709
92,0.13278,0,0.40428,0.79235,0.24702
92.7,1.2061,0,0.40723,0.79313,0.24696
94,-0.43246,0,0.41018,0.7939,0.2469
95.3,1.1608,0,0.40771,0.79114,0.24976
95.2,0.67247,0,0.40524,0.78839,0.25261
95.9,0.50463,0,0.40278,0.78563,0.25547
95.2,1.3922,0,0.40031,0.78288,0.25833
96.6,-1.2232,0,0.41413,0.7942,0.24653
96.2,0.30846,0,0.42796,0.80552,0.23474
105.9,-1.2402,0,0.44178,0.81685,0.22294
107.2,-0.76262,0,0.45561,0.82817,0.21114
108.5,1.0052,0,0.45514,0.82993,0.23165
108.7,0.31595,0,0.45467,0.8317,0.25215
109.6,0.94789,0,0.4542,0.83346,0.27265
109.3,0.70113,0,0.45373,0.83523,0.29316
110.1,1.1432,0,0.45285,0.83473,0.27852
110.5,0.27934,0,0.45197,0.83424,0.26388
110.2,1.6681,0,0.45108,0.83374,0.24924
109.2,-0.21915,0,0.4502,0.83325,0.2346
108.6,0.48536,0,0.44946,0.83449,0.21998
106.5,0.7413,0,0.44871,0.83572,0.20537
105.8,0.37401,0,0.44796,0.83696,0.19075
106.2,-0.22071,0,0.44722,0.8382,0.17614
107.9,0.76432,0,0.45371,0.84026,0.19081
108.8,0.50454,0,0.4602,0.84232,0.20547
109.6,0.79456,0,0.46669,0.84438,0.22014
112.2,0.91207,0,0.47319,0.84643,0.23481
114.3,1.4785,0,0.47011,0.84471,0.22597
115.6,0.87005,0,0.46704,0.84298,0.21714
116.6,0.57927,0,0.46396,0.84126,0.20831
116.3,0.2476,0,0.46089,0.83953,0.19948
119.6,0.33723,0,0.45729,0.84149,0.23752
121.1,0.31836,0,0.45369,0.84346,0.27557
122.8,0.25548,0,0.45009,0.84542,0.31361
127.7,1.0354,0,0.44649,0.84738,0.35166
130,1.3423,0,0.44081,0.84524,0.34277
133.3,1.4353,0,0.43513,0.8431,0.33388
135.2,1.1797,0,0.42945,0.84096,0.32499
137.7,0.72793,0,0.42376,0.83882,0.3161
